domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,screenshot_path_banner,screenshot_path_manage,notes
opm.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T15:06:34.714Z,https://opm.go.th/opmportal/index.asp,ok,,0,,unknown,,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/opm.go.th/desktop/run1_banner.png,,"interstitial_step1_before=evidence/opm.go.th/desktop/run1_interstitial_step1_before.png; interstitial_clicked=""[ เข้าสู่เว็บไซต์ ]
สำนักนายกรัฐมนตรี
The Prime Minister's Office""; interstitial_step1_after=evidence/opm.go.th/desktop/run1_interstitial_step1_after.png; "
opm.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T15:06:34.715Z,https://opm.go.th/opmportal/default2.asp,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,2,,,1,1,0,,,,,,evidence/opm.go.th/mobile/run1_banner.png,evidence/opm.go.th/mobile/run1_manage.png,interstitial_step1_before=evidence/opm.go.th/mobile/run1_interstitial_step1_before.png; 
opm.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T15:06:34.715Z,https://opm.go.th/opmportal/index.asp,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,1,1,0,,,,,,evidence/opm.go.th/desktop/run2_banner.png,evidence/opm.go.th/desktop/run2_manage.png,"interstitial_step1_before=evidence/opm.go.th/desktop/run2_interstitial_step1_before.png; interstitial_clicked=""[ เข้าสู่เว็บไซต์ ]
สำนักนายกรัฐมนตรี
The Prime Minister's Office""; interstitial_step1_after=evidence/opm.go.th/desktop/run2_interstitial_step1_after.png; "
opm.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T15:06:43.148Z,https://opm.go.th/opmportal/index.asp,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,1,1,0,,,,,,evidence/opm.go.th/mobile/run2_banner.png,evidence/opm.go.th/mobile/run2_manage.png,"interstitial_step1_before=evidence/opm.go.th/mobile/run2_interstitial_step1_before.png; interstitial_clicked=""[ เข้าสู่เว็บไซต์ ]
สำนักนายกรัฐมนตรี
The Prime Minister's Office""; interstitial_step1_after=evidence/opm.go.th/mobile/run2_interstitial_step1_after.png; "
mdes.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T15:06:57.241Z,https://mdes.go.th/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mdes.go.th/desktop/run1_banner.png,,interstitial_step1_before=evidence/mdes.go.th/desktop/run1_interstitial_step1_before.png; 
mdes.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T15:06:57.833Z,https://mdes.go.th/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mdes.go.th/desktop/run2_banner.png,,interstitial_step1_before=evidence/mdes.go.th/desktop/run2_interstitial_step1_before.png; 
mdes.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T15:06:58.498Z,https://mdes.go.th/,ok,,0,,unknown,en,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mdes.go.th/mobile/run1_banner.png,,interstitial_step1_before=evidence/mdes.go.th/mobile/run1_interstitial_step1_before.png; 
mdes.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T15:07:04.126Z,https://mdes.go.th/,ok,,0,,unknown,en,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mdes.go.th/mobile/run2_banner.png,,interstitial_step1_before=evidence/mdes.go.th/mobile/run2_interstitial_step1_before.png; 
moph.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T15:07:04.650Z,https://moph.go.th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,evidence/moph.go.th/desktop/run1_banner.png,evidence/moph.go.th/desktop/run1_manage.png,interstitial_step1_before=evidence/moph.go.th/desktop/run1_interstitial_step1_before.png; 
moph.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T15:07:05.219Z,https://moph.go.th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,evidence/moph.go.th/desktop/run2_banner.png,evidence/moph.go.th/desktop/run2_manage.png,interstitial_step1_before=evidence/moph.go.th/desktop/run2_interstitial_step1_before.png; 
moph.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T15:07:10.838Z,https://moph.go.th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,evidence/moph.go.th/mobile/run1_banner.png,evidence/moph.go.th/mobile/run1_manage.png,interstitial_step1_before=evidence/moph.go.th/mobile/run1_interstitial_step1_before.png; 
mof.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T15:07:15.978Z,https://mof.go.th/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mof.go.th/desktop/run1_banner.png,,interstitial_step1_before=evidence/mof.go.th/desktop/run1_interstitial_step1_before.png; 
moph.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T15:07:15.741Z,https://moph.go.th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,evidence/moph.go.th/mobile/run2_banner.png,evidence/moph.go.th/mobile/run2_manage.png,interstitial_step1_before=evidence/moph.go.th/mobile/run2_interstitial_step1_before.png; 
mof.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T15:07:22.194Z,https://mof.go.th/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mof.go.th/desktop/run2_banner.png,,interstitial_step1_before=evidence/mof.go.th/desktop/run2_interstitial_step1_before.png; 
mof.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T15:07:24.153Z,https://www.mof.go.th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,evidence/mof.go.th/mobile/run1_banner.png,evidence/mof.go.th/mobile/run1_manage.png,interstitial_step1_before=evidence/mof.go.th/mobile/run1_interstitial_step1_before.png; 
mfa.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T15:07:28.850Z,https://mfa.go.th/,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mfa.go.th/desktop/run1_banner.png,,interstitial_step1_before=evidence/mfa.go.th/desktop/run1_interstitial_step1_before.png; 
mof.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T15:07:26.303Z,https://www.mof.go.th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,evidence/mof.go.th/mobile/run2_banner.png,evidence/mof.go.th/mobile/run2_manage.png,interstitial_step1_before=evidence/mof.go.th/mobile/run2_interstitial_step1_before.png; 
mfa.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T15:07:36.625Z,https://mfa.go.th/,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mfa.go.th/desktop/run2_banner.png,,interstitial_step1_before=evidence/mfa.go.th/desktop/run2_interstitial_step1_before.png; 
mfa.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T15:07:36.742Z,https://mfa.go.th/,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mfa.go.th/mobile/run1_banner.png,,interstitial_step1_before=evidence/mfa.go.th/mobile/run1_interstitial_step1_before.png; 
mfa.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T15:07:39.623Z,https://mfa.go.th/,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mfa.go.th/mobile/run2_banner.png,,interstitial_step1_before=evidence/mfa.go.th/mobile/run2_interstitial_step1_before.png; 
moi.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T15:07:46.886Z,https://moi.go.th/,ok,,0,,unknown,en,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/moi.go.th/mobile/run1_banner.png,,interstitial_step1_before=evidence/moi.go.th/mobile/run1_interstitial_step1_before.png; 
moi.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T15:07:43.905Z,https://moi.go.th/,ok,,0,,unknown,en,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/moi.go.th/desktop/run1_banner.png,,interstitial_step1_before=evidence/moi.go.th/desktop/run1_interstitial_step1_before.png; 
moi.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T15:07:43.964Z,https://moi.go.th/,ok,,0,,unknown,en,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/moi.go.th/desktop/run2_banner.png,,interstitial_step1_before=evidence/moi.go.th/desktop/run2_interstitial_step1_before.png; 
moi.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T15:07:53.480Z,https://moi.go.th/,ok,,0,,unknown,en,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/moi.go.th/mobile/run2_banner.png,,interstitial_step1_before=evidence/moi.go.th/mobile/run2_interstitial_step1_before.png; 
moc.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T15:08:00.065Z,,error,"page.goto: net::ERR_EMPTY_RESPONSE at http://moc.go.th/
Call log:
[2m  - navigating to ""http://moc.go.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,
moc.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T15:08:00.238Z,,error,"page.goto: net::ERR_EMPTY_RESPONSE at http://moc.go.th/
Call log:
[2m  - navigating to ""http://moc.go.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,
moc.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T15:07:54.696Z,https://moc.go.th/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/moc.go.th/desktop/run1_banner.png,,interstitial_step1_before=evidence/moc.go.th/desktop/run1_interstitial_step1_before.png; 
moc.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T15:07:54.773Z,https://moc.go.th/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/moc.go.th/desktop/run2_banner.png,,interstitial_step1_before=evidence/moc.go.th/desktop/run2_interstitial_step1_before.png; 
mot.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T15:08:00.409Z,https://mot.go.th/intro,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mot.go.th/desktop/run1_banner.png,,interstitial_step1_before=evidence/mot.go.th/desktop/run1_interstitial_step1_before.png; 
mot.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T15:08:01.079Z,https://mot.go.th/intro,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,evidence/mot.go.th/mobile/run1_banner.png,,interstitial_step1_before=evidence/mot.go.th/mobile/run1_interstitial_step1_before.png; 
