domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,dp3_flag_adv,dp3_pre_tracking_count,dp3_reject_tracking_count,dp3_accept_tracking_count,dp3_pre_only_endpoints_count,dp3_pre_only_cookies_count,dp3_pre_only_endpoints_sample,dp3_pre_only_cookies_sample,canvas_fp_preconsent,screenshot_path_banner,screenshot_path_manage,notes
opm.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-13T13:34:52.603Z,https://opm.go.th/opmportal/default2.asp,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,1,1,0,,,,,,,,,,,,,,,evidence/opm.go.th/mobile/run1_banner.png,evidence/opm.go.th/mobile/run1_manage.png,interstitial_step1_before=evidence/opm.go.th/mobile/run1_interstitial_step1_before.png; 
opm.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-13T13:34:52.603Z,https://opm.go.th/opmportal/default2.asp,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,1,1,0,,,,,,,,,,,,,,,evidence/opm.go.th/desktop/run2_banner.png,evidence/opm.go.th/desktop/run2_manage.png,interstitial_step1_before=evidence/opm.go.th/desktop/run2_interstitial_step1_before.png; 
opm.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-13T13:34:52.602Z,https://opm.go.th/opmportal/index.asp,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/opm.go.th/desktop/run1_banner.png,evidence/opm.go.th/desktop/run1_manage.png,"interstitial_step1_before=evidence/opm.go.th/desktop/run1_interstitial_step1_before.png; interstitial_clicked=""[ เข้าสู่เว็บไซต์ ]
สำนักนายกรัฐมนตรี
The Prime Minister's Office""; interstitial_step1_after=evidence/opm.go.th/desktop/run1_interstitial_step1_after.png; "
mdes.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-13T13:35:04.028Z,https://mdes.go.th/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,evidence/mdes.go.th/desktop/run1_banner.png,,interstitial_step1_before=evidence/mdes.go.th/desktop/run1_interstitial_step1_before.png; 
mdes.go.th,GOV,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-13T13:35:04.231Z,https://mdes.go.th/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,evidence/mdes.go.th/desktop/run2_banner.png,,interstitial_step1_before=evidence/mdes.go.th/desktop/run2_interstitial_step1_before.png; 
opm.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-13T13:35:04.023Z,https://opm.go.th/opmportal/index.asp,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,1,1,0,,,,,,,,,,,,,,,evidence/opm.go.th/mobile/run2_banner.png,evidence/opm.go.th/mobile/run2_manage.png,"interstitial_step1_before=evidence/opm.go.th/mobile/run2_interstitial_step1_before.png; interstitial_clicked=""[ เข้าสู่เว็บไซต์ ]
สำนักนายกรัฐมนตรี
The Prime Minister's Office""; interstitial_step1_after=evidence/opm.go.th/mobile/run2_interstitial_step1_after.png; "
mdes.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-13T13:35:10.663Z,https://mdes.go.th/home,ok,,1,,unknown,th,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,6,,,1,1,0,,,,,,,,,,,,,,,evidence/mdes.go.th/mobile/run1_banner.png,evidence/mdes.go.th/mobile/run1_manage.png,"interstitial_step1_before=evidence/mdes.go.th/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://mdes.go.th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/mdes.go.th/mobile/run1_interstitial_step1_after.png; "
mdes.go.th,GOV,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-13T13:35:10.688Z,https://mdes.go.th/home,ok,,1,,unknown,th,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,6,,,1,1,0,,,,,,,,,,,,,,,evidence/mdes.go.th/mobile/run2_banner.png,evidence/mdes.go.th/mobile/run2_manage.png,"interstitial_step1_before=evidence/mdes.go.th/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://mdes.go.th/home; interstitial_clicked=""""; interstitial_step1_after=evidence/mdes.go.th/mobile/run2_interstitial_step1_after.png; "
moph.go.th,GOV,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-13T13:35:16.298Z,https://moph.go.th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/moph.go.th/desktop/run1_banner.png,evidence/moph.go.th/desktop/run1_manage.png,"interstitial_step1_before=evidence/moph.go.th/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://moph.go.th/; interstitial_clicked=""""; interstitial_step1_after=evidence/moph.go.th/desktop/run1_interstitial_step1_after.png; "
moph.go.th,GOV,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-13T13:35:20.375Z,https://moph.go.th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/moph.go.th/mobile/run1_banner.png,evidence/moph.go.th/mobile/run1_manage.png,"interstitial_step1_before=evidence/moph.go.th/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://moph.go.th/; interstitial_clicked=""""; interstitial_step1_after=evidence/moph.go.th/mobile/run1_interstitial_step1_after.png; "
